borough,acres,typecatego,waterfront
B,1.032,Playground,No
M,256.111,Flagship Park,Yes
M,0.625,Triangle/Plaza,No
B,0.057,Triangle/Plaza,No
R,286.382,Nature Area,Yes
R,15.368,Nature Area,Yes
Q,0.10099999999999999,Playground,No
B,1.595,Jointly Operated Playground,No
M,0.192,Playground,No
M,0.9470000000000001,Jointly Operated Playground,No
R,1.324,Neighborhood Park,No
X,9.488,Lot,No
X,1.32,Jointly Operated Playground,No
B,77.044,Nature Area,Yes
B,6.401,Neighborhood Park,No
X,1.02,Playground,No
Q,23.543000000000003,Community Park,No
M,0.187,Triangle/Plaza,No
M,0.688,Playground,No
Q,1.206,Jointly Operated Playground,No
X,0.201,Playground,No
X,4.0,Neighborhood Park,No
X,0.096,Playground,No
B,0.89,Jointly Operated Playground,No
R,4.605,Waterfront Facility,Yes
Q,0.10099999999999999,Triangle/Plaza,No
M,196.398,Community Park,Yes
Q,2.2,Neighborhood Park,No
B,4.044,Playground,No
M,0.048,Garden,No
Q,0.018000000000000002,Triangle/Plaza,No
M,0.12300000000000001,Garden,No
M,0.023,Garden,No
Q,47.08,Managed Sites,No
M,0.789,Neighborhood Park,No
Q,0.08199999999999999,Strip,No
X,0.16699999999999998,Parkway,No
B,0.091,Garden,No
X,2.331,Playground,No
B,0.057999999999999996,Triangle/Plaza,No
M,0.034,Garden,No
M,0.122,Garden,No
R,0.892,Jointly Operated Playground,No
M,0.092,Triangle/Plaza,No
Q,1.025,Jointly Operated Playground,No
M,28.434,Community Park,Yes
R,5.188,Nature Area,No
M,0.44799999999999995,Triangle/Plaza,No
M,0.851,Jointly Operated Playground,No
B,0.20600000000000002,Jointly Operated Playground,No
B,0.9329999999999999,Jointly Operated Playground,No
Q,0.49200000000000005,Triangle/Plaza,No
X,2.537,Jointly Operated Playground,No
B,1.315,Jointly Operated Playground,No
X,1.882,Jointly Operated Playground,No
R,1.43,Triangle/Plaza,No
M,20.132,Community Park,No
B,1.003,Playground,No
X,0.316,Playground,No
Q,13.894,Nature Area,No
Q,0.315,Triangle/Plaza,No
B,0.073,Garden,No
B,0.177,Garden,No
X,3.85,Neighborhood Park,No
X,0.12,Garden,No
B,1.08,Undeveloped,No
Q,0.18,Garden,No
X,1.13,Managed Sites,Yes
Q,0.057,Garden,No
B,0.172,Garden,No
X,2.5,Neighborhood Park,No
Q,0.32,Triangle/Plaza,No
X,0.529,Playground,No
M,2.13,Parkway,No
B,0.996,Playground,No
M,2.752,Neighborhood Park,No
M,0.094,Triangle/Plaza,No
Q,0.054000000000000006,Triangle/Plaza,No
M,0.40299999999999997,Neighborhood Park,No
X,1146.43,Flagship Park,No
R,0.845,Nature Area,No
X,0.43,Garden,No
Q,0.978,Neighborhood Park,No
X,0.82,Playground,No
B,0.868,Jointly Operated Playground,No
M,1.383,Neighborhood Park,No
B,24.218000000000004,Neighborhood Park,No
M,0.192,Triangle/Plaza,No
M,0.1,Garden,No
Q,0.051,Triangle/Plaza,No
Q,1.31,Playground,No
M,0.05,Garden,No
X,0.36,Triangle/Plaza,No
Q,0.254,Triangle/Plaza,No
B,0.114,Garden,No
B,10.390999999999998,Community Park,No
Q,3.4,Strip,No
B,4.525,Neighborhood Park,Yes
R,760.79,Flagship Park,No
Q,1.016,Jointly Operated Playground,No
M,0.669,Neighborhood Park,No
B,0.249,Garden,No
B,0.332,Garden,No
X,0.017,Triangle/Plaza,No
Q,1.48,Jointly Operated Playground,No
M,0.97,Neighborhood Park,No
Q,1.598,Playground,No
B,1.5,Neighborhood Park,No
B,0.045,Triangle/Plaza,No
B,3.023,Jointly Operated Playground,No
Q,1.993,Undeveloped,No
X,0.76,Garden,No
B,0.052000000000000005,Triangle/Plaza,No
B,45.059,Flagship Park,No
M,0.8909999999999999,Jointly Operated Playground,No
X,0.461,Playground,No
B,1.06,Jointly Operated Playground,No
Q,9.154,Community Park,No
X,8.005,Nature Area,Yes
B,1.6480000000000001,Playground,No
M,0.8109999999999999,Playground,No
R,1.6,Playground,No
B,0.057,Garden,No
M,0.057,Garden,No
Q,0.09,Triangle/Plaza,No
B,0.28,Garden,No
X,1.51,Jointly Operated Playground,No
M,840.01,Flagship Park,No
Q,2.8569999999999998,Playground,No
M,0.345,Triangle/Plaza,No
R,10.5,Community Park,No
M,0.684,Playground,No
M,0.106,Garden,No
X,0.009000000000000001,Triangle/Plaza,No
X,0.141,Playground,No
Q,0.166,Triangle/Plaza,No
B,0.565,Playground,No
M,0.135,Playground,No
Q,1.492,Garden,No
M,0.069,Garden,No
Q,0.98,Jointly Operated Playground,No
M,0.551,Jointly Operated Playground,No
B,63.636,Parkway,No
B,0.09,Parkway,No
B,1.8359999999999999,Recreation Field/Courts,No
Q,0.22,Triangle/Plaza,No
B,1.033,Jointly Operated Playground,No
X,1.23,Jointly Operated Playground,No
M,1.5,Community Park,No
Q,1.479,Jointly Operated Playground,No
X,0.92,Jointly Operated Playground,No
B,3.214,Neighborhood Park,No
M,0.267,Garden,No
M,0.11699999999999999,Triangle/Plaza,No
B,0.04,Garden,No
X,0.9109999999999999,Playground,No
B,7.79,Neighborhood Park,No
X,0.511,Undeveloped,No
R,34.689,Nature Area,Yes
B,0.41,Garden,No
B,58.503,Community Park,Yes
Q,0.115,Garden,No
B,1.581,Playground,No
B,2.783,Jointly Operated Playground,No
Q,0.004,Triangle/Plaza,No
B,0.23,Garden,No
X,0.032,Garden,No
B,0.8,Mall,No
Q,1.2009999999999998,Playground,No
B,0.9129999999999999,Playground,No
B,1.187,Neighborhood Park,No
Q,1.051,Jointly Operated Playground,No
Q,0.452,Buildings/Institutions,No
X,8.972000000000001,Neighborhood Park,No
B,0.21100000000000002,Garden,No
M,1.254,Neighborhood Park,No
B,0.039,Garden,No
B,0.025,Triangle/Plaza,No
X,0.8170000000000001,Playground,No
X,1.815,Jointly Operated Playground,No
Q,1.226,Recreation Field/Courts,No
B,0.214,Triangle/Plaza,No
Q,109.609,Community Park,No
X,0.042,Undeveloped,No
M,0.446,Triangle/Plaza,No
Q,2.2430000000000003,Jointly Operated Playground,No
X,0.27,Playground,No
X,1.107,Jointly Operated Playground,No
M,0.03,Triangle/Plaza,No
Q,1.48,Jointly Operated Playground,No
B,0.3,Garden,No
Q,18.768,Recreation Field/Courts,Yes
Q,0.32299999999999995,Neighborhood Park,No
R,4.465,Nature Area,No
B,0.149,Garden,No
X,0.32899999999999996,Buildings/Institutions,No
Q,17.0,Community Park,No
B,0.9179999999999999,Neighborhood Park,No
Q,0.08,Triangle/Plaza,No
B,0.057,Garden,No
B,0.406,Playground,No
X,8.75,Mall,No
M,0.095,Triangle/Plaza,No
R,1.922,Jointly Operated Playground,No
B,2.944,Recreation Field/Courts,Yes
Q,0.024,Triangle/Plaza,No
B,2.117,Playground,No
Q,0.145,Mall,No
Q,2.69,Recreation Field/Courts,No
M,0.7490000000000001,Neighborhood Park,No
Q,0.5529999999999999,Mall,No
M,0.8370000000000001,Jointly Operated Playground,No
X,0.44,Undeveloped,No
M,7.782,Waterfront Facility,Yes
B,0.002,Strip,No
M,0.622,Playground,No
M,1.7,Jointly Operated Playground,No
R,0.049,Undeveloped,No
X,2.944,Playground,No
B,1.23,Jointly Operated Playground,No
X,0.028999999999999998,Garden,No
R,6.563,Nature Area,No
R,0.96,Undeveloped,No
Q,110.93,Managed Sites,No
Q,27.484,Nature Area,Yes
B,0.155,Playground,No
Q,635.514,Flagship Park,Yes
X,0.12,Triangle/Plaza,No
R,0.006,Strip,No
M,0.134,Recreation Field/Courts,No
Q,3.076,Neighborhood Park,No
B,1.43,Neighborhood Park,No
B,0.083,Garden,No
M,13.35,Neighborhood Park,No
R,0.3,Triangle/Plaza,No
B,3.449,Neighborhood Park,No
M,0.11,Garden,No
Q,0.778,Garden,No
Q,0.318,Undeveloped,No
X,0.267,Playground,No
B,1.171,Neighborhood Park,No
B,0.327,Playground,No
X,1.82,Playground,No
M,1.64,Community Park,No
M,0.35,Garden,No
Q,2.524,Neighborhood Park,No
B,0.9179999999999999,Garden,No
X,22.07,Managed Sites,Yes
R,0.9490000000000001,Jointly Operated Playground,No
B,0.44,Garden,No
X,0.18600000000000003,Playground,No
Q,1.16,Jointly Operated Playground,No
M,0.68,Recreation Field/Courts,No
R,36.691,Nature Area,No
R,0.49,Playground,No
M,0.08,Triangle/Plaza,No
M,0.39,Garden,No
M,14.937999999999999,Neighborhood Park,Yes
Q,3.258,Recreation Field/Courts,No
Q,0.5820000000000001,Neighborhood Park,No
M,0.21,Triangle/Plaza,No
Q,0.008,Triangle/Plaza,No
Q,5.593,Recreation Field/Courts,No
Q,45.79,Community Park,No
X,0.025,Strip,No
B,1.93,Recreation Field/Courts,No
X,0.5,Parkway,No
Q,0.040999999999999995,Triangle/Plaza,No
B,0.145,Garden,No
M,0.607,Recreation Field/Courts,No
Q,1.47,Playground,No
R,83.3,Historic House Park,Yes
Q,2.872,Neighborhood Park,No
B,1.17,Jointly Operated Playground,No
M,0.15,Garden,No
R,94.1,Nature Area,No
M,1.139,Mall,No
R,0.85,Triangle/Plaza,No
B,0.475,Garden,No
B,8.565,Neighborhood Park,No
Q,0.03,Triangle/Plaza,No
Q,0.008,Triangle/Plaza,No
Q,5.84399754,Neighborhood Park,Yes
B,0.281,Parkway,No
Q,1.239,Jointly Operated Playground,No
Q,0.44799999999999995,Neighborhood Park,No
X,0.637,Jointly Operated Playground,No
Q,1.035,Triangle/Plaza,No
B,1.23,Jointly Operated Playground,No
M,0.018000000000000002,Triangle/Plaza,No
B,0.11,Garden,No
R,1.115,Neighborhood Park,No
Q,111.163,Nature Area,Yes
B,0.067,Triangle/Plaza,No
B,1.195,Jointly Operated Playground,No
X,3.3480000000000003,Playground,No
R,13.937999999999999,Neighborhood Park,Yes
M,0.366,Triangle/Plaza,No
M,0.11699999999999999,Garden,No
Q,1.2770000000000001,Jointly Operated Playground,No
X,0.16,Triangle/Plaza,No
B,1.3630000000000002,Neighborhood Park,No
X,0.15,Garden,No
M,0.033,Garden,No
Q,5.1,Neighborhood Park,No
M,2.445,Recreation Field/Courts,No
R,193.423,Community Park,No
X,6.1,Recreation Field/Courts,Yes
R,0.159,Triangle/Plaza,No
X,6.882000000000001,Community Park,No
M,0.115,Garden,No
Q,1.785,Neighborhood Park,No
R,2.8360000000000003,Jointly Operated Playground,No
Q,16.831,Neighborhood Park,Yes
M,0.242,Triangle/Plaza,No
B,3.56,Community Park,No
M,1.0,Neighborhood Park,No
Q,498.154,Waterfront Facility,Yes
X,1.646,Playground,No
Q,1.285,Managed Sites,No
M,0.456,Playground,No
B,6.05,Jointly Operated Playground,No
R,1.78,Nature Area,No
Q,0.6859999999999999,Jointly Operated Playground,No
M,0.882,Jointly Operated Playground,No
B,6.379,Neighborhood Park,No
Q,0.318,Recreation Field/Courts,No
B,0.08,Parkway,No
B,0.08199999999999999,Garden,No
Q,0.09,Mall,No
B,0.256,Playground,No
Q,0.935,Jointly Operated Playground,No
M,0.9,Recreation Field/Courts,No
M,0.046,Garden,No
R,0.7240000000000001,Neighborhood Park,No
Q,0.214,Triangle/Plaza,No
M,0.209,Triangle/Plaza,No
Q,5.82,Neighborhood Park,Yes
Q,180.85,Nature Area,No
M,3.233,Playground,No
X,7.84,Neighborhood Park,No
B,0.191,Garden,No
B,0.429,Playground,No
B,2.064,Mall,No
X,1.025,Playground,No
Q,0.012,Strip,No
B,0.67,Community Park,No
B,0.11,Triangle/Plaza,No
Q,2.2,Jointly Operated Playground,No
X,0.7,Playground,No
Q,1.29985643,Jointly Operated Playground,No
X,0.722,Jointly Operated Playground,No
B,2.9130000000000003,Triangle/Plaza,No
B,3.403,Jointly Operated Playground,No
B,0.22899999999999998,Garden,No
X,7.7379999999999995,Recreation Field/Courts,No
B,0.826,Community Park,No
X,0.36700000000000005,Playground,No
R,0.11,Undeveloped,No
B,3.03,Neighborhood Park,No
M,0.252,Neighborhood Park,No
B,0.295,Playground,No
B,1.148,Neighborhood Park,No
B,216.655,Community Park,No
M,184.143,Community Park,Yes
X,0.1,Triangle/Plaza,No
X,4.359,Neighborhood Park,No
X,8.607000000000001,Community Park,No
B,0.975,Lot,No
B,85.527,Recreation Field/Courts,Yes
Q,0.961,Garden,No
Q,1.8030000000000002,Mall,No
Q,0.249,Undeveloped,No
Q,0.581,Neighborhood Park,No
Q,8.833,Jointly Operated Playground,No
M,6.51,Community Park,No
Q,2.7,Jointly Operated Playground,No
X,7.156000000000001,Neighborhood Park,Yes
M,0.04,Garden,No
Q,1.206,Jointly Operated Playground,No
Q,1.25,Jointly Operated Playground,No
R,3.77,Nature Area,No
Q,0.047,Triangle/Plaza,No
M,0.043,Triangle/Plaza,No
Q,0.02,Strip,No
B,0.9470000000000001,Parkway,No
M,0.096,Recreation Field/Courts,No
B,0.002,Strip,No
Q,0.002,Strip,No
M,0.02,Garden,No
Q,0.135,Mall,No
X,0.28,Triangle/Plaza,No
Q,0.13,Triangle/Plaza,No
B,0.09699999999999999,Garden,No
X,4.637,Neighborhood Park,No
B,0.052000000000000005,Garden,No
Q,0.045,Triangle/Plaza,No
Q,1.05,Playground,No
B,1.3,Neighborhood Park,No
X,0.345,Recreation Field/Courts,No
B,0.391,Garden,No
Q,0.29,Buildings/Institutions,No
R,3.014,Neighborhood Park,No
M,0.07,Triangle/Plaza,No
B,0.073,Garden,No
B,1.56,Neighborhood Park,No
R,1.53,Nature Area,No
X,1.0,Jointly Operated Playground,No
X,2.136,Neighborhood Park,No
B,0.546,Garden,No
X,0.171,Garden,No
X,1.7930000000000001,Jointly Operated Playground,No
X,0.12,Triangle/Plaza,No
Q,3.673,Jointly Operated Playground,No
M,1.6909999999999998,Jointly Operated Playground,No
R,91.086,Nature Area,No
R,2.335,Neighborhood Park,No
B,1.041,Neighborhood Park,No
R,16.93,Nature Area,No
B,0.13699999999999998,Garden,No
B,132.2,Community Park,Yes
M,0.991,Community Park,No
Q,0.457,Neighborhood Park,No
Q,1.754,Undeveloped,No
X,0.272,Garden,No
B,0.06,Triangle/Plaza,No
B,0.915,Jointly Operated Playground,No
X,0.187,Triangle/Plaza,No
B,0.057,Garden,No
M,0.423,Triangle/Plaza,No
Q,0.205,Garden,No
B,0.045,Garden,No
B,0.07,Triangle/Plaza,No
X,0.31,Triangle/Plaza,No
B,0.231,Neighborhood Park,No
B,0.013000000000000001,Triangle/Plaza,No
Q,1.429,Mall,No
X,0.03,Strip,No
M,0.057999999999999996,Garden,No
Q,0.375,Strip,No
R,3.23,Jointly Operated Playground,No
X,0.903,Neighborhood Park,No
X,0.028999999999999998,Strip,No
Q,0.062,Triangle/Plaza,No
B,1.37,Jointly Operated Playground,No
B,0.237,Recreation Field/Courts,No
X,0.41200000000000003,Jointly Operated Playground,No
R,2.889,Neighborhood Park,No
B,1.187,Neighborhood Park,No
M,2.3,Parkway,No
M,0.16899999999999998,Garden,No
Q,2.719,Jointly Operated Playground,No
Q,2.043,Neighborhood Park,No
X,1.0,Triangle/Plaza,No
M,0.057,Garden,No
R,210.928,Nature Area,No
X,1.95,Neighborhood Park,No
B,2.427,Neighborhood Park,No
X,1.7069999999999999,Recreation Field/Courts,No
M,5.605,Mall,No
Q,0.207,Triangle/Plaza,No
X,10.735,Nature Area,No
B,0.001,Triangle/Plaza,No
M,0.086,Garden,No
Q,0.8340000000000001,Triangle/Plaza,No
M,0.203,Triangle/Plaza,No
B,0.7340000000000001,Historic House Park,No
X,0.436,Playground,No
M,1.016,Triangle/Plaza,No
B,0.043,Garden,No
X,127.5,Flagship Park,No
B,0.622,Playground,No
R,205.977,Managed Sites,No
X,0.44,Garden,Yes
X,1.16,Garden,Yes
Q,0.001,Strip,No
B,1.034,Neighborhood Park,No
M,0.517,Playground,No
Q,0.565,Triangle/Plaza,No
X,3.02,Playground,No
B,0.081,Garden,No
X,2.181,Community Park,No
Q,0.9,Playground,No
X,1.871,Neighborhood Park,No
B,17.5,Recreation Field/Courts,Yes
B,118.795,Nature Area,Yes
M,0.172,Playground,No
M,1.58,Jointly Operated Playground,No
Q,31.5,Waterfront Facility,Yes
B,0.10300000000000001,Garden,No
B,0.068,Triangle/Plaza,No
B,0.191,Triangle/Plaza,No
M,5.756,Recreation Field/Courts,No
X,0.32,Garden,No
B,0.06,Garden,No
X,0.10099999999999999,Garden,No
B,0.004,Strip,No
Q,1.071,Jointly Operated Playground,No
B,0.444,Jointly Operated Playground,No
Q,0.46,Recreation Field/Courts,No
X,0.7120000000000001,Jointly Operated Playground,No
X,0.07200000000000001,Triangle/Plaza,No
Q,0.23,Neighborhood Park,No
B,0.225,Garden,No
Q,59.956,Community Park,Yes
X,0.102,Strip,No
X,4.926,Community Park,No
B,0.321,Garden,No
X,0.455,Historic House Park,No
X,0.977,Playground,No
M,0.08199999999999999,Garden,No
R,1.681,Jointly Operated Playground,No
M,4.623,Mall,No
M,0.12,Triangle/Plaza,No
B,0.091,Garden,No
X,1.0,Playground,No
Q,166.71,Waterfront Facility,Yes
X,0.344,Garden,No
R,87.516,Nature Area,Yes
X,83.615,Nature Area,Yes
Q,0.185,Triangle/Plaza,No
B,0.32,Triangle/Plaza,No
B,0.682,Jointly Operated Playground,No
B,0.736,Parkway,No
B,5.888,Jointly Operated Playground,No
M,1.143,Neighborhood Park,No
M,20.165,Community Park,No
R,6.402,Nature Area,No
Q,1.5019999999999998,Playground,No
M,0.066,Garden,No
R,5.848,Parkway,No
X,0.2,Triangle/Plaza,No
R,3.195,Buildings/Institutions,No
B,0.585,Neighborhood Park,No
Q,1.652,Mall,No
X,0.52,Triangle/Plaza,No
B,0.907,Jointly Operated Playground,No
X,12.224,Neighborhood Park,Yes
M,0.563,Jointly Operated Playground,No
Q,0.42100000000000004,Triangle/Plaza,No
B,0.061,Garden,No
B,0.113,Strip,No
X,0.131,Garden,No
M,0.115,Triangle/Plaza,No
Q,0.1,Triangle/Plaza,No
R,1.37,Playground,No
M,0.653,Playground,No
B,4.945,Neighborhood Park,No
B,0.43799999999999994,Parkway,No
B,760.43,Parkway,Yes
M,67.21300000000001,Community Park,No
Q,1.013,Jointly Operated Playground,No
B,399.473,Waterfront Facility,Yes
X,0.09,Mall,No
B,0.091,Garden,No
Q,5.43,Neighborhood Park,No
B,0.08900000000000001,Garden,No
M,0.728,Triangle/Plaza,No
Q,2.948,Community Park,No
M,1.524,Historic House Park,No
Q,7.122000000000001,Neighborhood Park,Yes
M,0.04,Triangle/Plaza,No
Q,0.514,Playground,No
Q,2.98,Neighborhood Park,No
R,9.2,Nature Area,No
B,0.203,Garden,No
X,0.061,Undeveloped,No
Q,0.10800000000000001,Garden,No
B,2.326,Jointly Operated Playground,No
X,0.5920000000000001,Undeveloped,No
B,17.14,Community Park,No
B,6.7,Community Park,No
R,4.3389999999999995,Community Park,Yes
Q,0.011000000000000001,Triangle/Plaza,No
B,1.821,Neighborhood Park,No
B,0.11199999999999999,Triangle/Plaza,No
X,0.15,Strip,No
B,2.9819999999999998,Playground,No
B,0.032,Garden,No
M,0.055999999999999994,Triangle/Plaza,No
B,3.083,Waterfront Facility,Yes
B,0.312,Triangle/Plaza,No
B,1.8940000000000001,Neighborhood Park,No
M,0.85,Triangle/Plaza,Yes
M,1.093,Playground,No
M,2.436,Buildings/Institutions,No
Q,0.809,Jointly Operated Playground,No
M,29.888,Community Park,No
X,0.1,Triangle/Plaza,No
B,0.8,Jointly Operated Playground,No
X,0.07,Garden,No
Q,0.138,Triangle/Plaza,No
Q,0.207,Playground,No
M,0.11,Garden,No
R,1.178,Undeveloped,No
X,0.064,Garden,No
M,0.028999999999999998,Garden,No
Q,0.8959999999999999,Neighborhood Park,No
B,0.065,Garden,No
X,0.67,Playground,No
M,6.234,Neighborhood Park,No
B,0.139,Triangle/Plaza,No
B,0.067,Triangle/Plaza,No
R,173.99400000000003,Managed Sites,No
B,0.762,Parkway,No
X,11.57,Neighborhood Park,Yes
Q,0.083,Garden,No
Q,1.964,Jointly Operated Playground,No
M,0.059000000000000004,Triangle/Plaza,No
Q,0.003,Strip,No
M,0.17800000000000002,Garden,No
M,0.163,Garden,No
Q,0.3,Triangle/Plaza,No
X,1.194,Lot,No
M,0.03,Garden,No
B,1.3630000000000002,Playground,No
M,0.266,Playground,No
X,0.83,Jointly Operated Playground,No
B,1.095,Jointly Operated Playground,No
Q,0.027999999999999997,Triangle/Plaza,No
B,2.295,Neighborhood Park,No
B,2.76,Neighborhood Park,No
M,0.034,Garden,No
B,1.072,Neighborhood Park,No
B,0.467,Playground,No
Q,1.085,Jointly Operated Playground,No
M,0.267,Triangle/Plaza,No
B,0.9179999999999999,Jointly Operated Playground,No
X,0.381,Playground,No
B,1.093,Triangle/Plaza,No
B,0.11699999999999999,Garden,No
X,0.03,Strip,No
B,0.017,Triangle/Plaza,No
B,1.2109999999999999,Jointly Operated Playground,No
B,8.892000000000001,Nature Area,Yes
M,0.047,Triangle/Plaza,No
Q,0.113,Triangle/Plaza,No
B,1.976,Recreation Field/Courts,No
M,2.32,Recreation Field/Courts,No
X,0.213,Triangle/Plaza,No
B,1.056,Neighborhood Park,No
B,0.319,Playground,No
B,14.257,Triangle/Plaza,No
X,0.038,Strip,No
M,0.18600000000000003,Triangle/Plaza,No
B,0.046,Garden,No
M,130.1,Community Park,Yes
M,6.73,Community Park,No
X,0.008,Strip,No
X,0.7170000000000001,Jointly Operated Playground,No
Q,0.46,Recreation Field/Courts,No
B,0.93,Parkway,No
R,1.307,Jointly Operated Playground,No
X,0.782,Jointly Operated Playground,No
Q,2.5540000000000003,Jointly Operated Playground,No
X,1.395,Triangle/Plaza,No
B,0.293,Playground,No
M,0.25,Garden,No
Q,1.35,Jointly Operated Playground,No
R,302.693,Community Park,Yes
B,1.6869999999999998,Jointly Operated Playground,No
B,0.275,Garden,No
R,2.057,Playground,No
B,0.536,Jointly Operated Playground,No
M,0.525,Neighborhood Park,No
X,2.25,Undeveloped,Yes
X,0.19,Garden,No
B,0.32,Garden,No
X,0.19,Garden,No
Q,0.04,Triangle/Plaza,No
B,1.67,Jointly Operated Playground,No
B,0.8959999999999999,Playground,No
X,0.136,Triangle/Plaza,No
X,3.5,Jointly Operated Playground,No
B,0.10099999999999999,Garden,No
R,4.096,Jointly Operated Playground,No
R,9.181000000000001,Nature Area,Yes
M,3.089,Parkway,Yes
Q,0.867,Neighborhood Park,No
