borough,acres,typecatego,waterfront
Q,2.059,Jointly Operated Playground,No
Q,0.008,Strip,No
X,0.12,Undeveloped,No
X,0.054000000000000006,Triangle/Plaza,No
Q,1.052,Jointly Operated Playground,No
Q,0.13699999999999998,Mall,No
B,0.525,Garden,No
Q,0.126,Triangle/Plaza,No
M,1.227,Neighborhood Park,No
M,0.06,Garden,No
Q,1.304,Jointly Operated Playground,No
Q,5.4,Community Park,No
X,1.053,Jointly Operated Playground,No
Q,0.005,Strip,No
M,0.8340000000000001,Jointly Operated Playground,No
Q,0.2,Triangle/Plaza,No
B,0.002,Strip,No
B,2.391,Buildings/Institutions,No
X,0.13,Garden,No
B,0.07,Triangle/Plaza,No
M,0.087,Garden,No
X,0.059000000000000004,Triangle/Plaza,No
Q,12.624,Waterfront Facility,Yes
B,0.165,Garden,No
X,1.274,Recreation Field/Courts,No
R,0.636,Playground,No
X,1.806,Recreation Field/Courts,No
Q,0.013000000000000001,Triangle/Plaza,No
Q,0.626,Playground,No
B,0.138,Triangle/Plaza,No
B,0.053,Garden,No
X,0.179,Garden,No
X,0.381,Playground,No
Q,0.24100000000000002,Mall,No
B,1.3730000000000002,Recreation Field/Courts,No
M,0.451,Jointly Operated Playground,No
Q,9.404,Parkway,No
B,0.48700000000000004,Playground,No
Q,0.54,Neighborhood Park,No
B,0.032,Triangle/Plaza,No
B,1.9,Neighborhood Park,No
Q,0.049,Triangle/Plaza,No
M,0.247,Triangle/Plaza,No
Q,1.14,Playground,No
B,1.035,Jointly Operated Playground,No
Q,3.4739999999999998,Neighborhood Park,No
X,0.47,Triangle/Plaza,No
R,110.96,Nature Area,Yes
B,1.0,Community Park,No
M,0.22399999999999998,Garden,No
Q,0.054000000000000006,Garden,No
B,1.161,Triangle/Plaza,No
X,4.417,Recreation Field/Courts,No
M,22.74,Neighborhood Park,No
B,0.23,Jointly Operated Playground,No
B,0.18899999999999997,Neighborhood Park,No
Q,0.618,Playground,Yes
M,9.749,Neighborhood Park,No
Q,0.91,Jointly Operated Playground,No
X,0.11,Garden,No
Q,0.064,Triangle/Plaza,No
B,3.214,Neighborhood Park,No
Q,44.295,Nature Area,Yes
M,0.053,Garden,No
Q,0.03,Triangle/Plaza,No
X,0.15,Strip,No
B,0.046,Garden,No
X,2.58,Jointly Operated Playground,No
R,0.765,Undeveloped,No
R,2.2230000000000003,Nature Area,No
X,0.11599999999999999,Garden,No
M,0.054000000000000006,Garden,No
Q,0.22899999999999998,Undeveloped,No
B,0.040999999999999995,Garden,No
Q,0.032,Triangle/Plaza,No
Q,1.633,Neighborhood Park,No
B,0.20800000000000002,Playground,No
B,0.13699999999999998,Triangle/Plaza,No
R,258.72,Neighborhood Park,No
R,198.481,Parkway,No
B,0.161,Undeveloped,Yes
Q,0.996,Jointly Operated Playground,No
M,3.05,Neighborhood Park,No
Q,2.4459999999999997,Jointly Operated Playground,No
R,3.466,Jointly Operated Playground,No
Q,3.32,Jointly Operated Playground,No
X,0.696,Playground,No
B,1.7209999999999999,Jointly Operated Playground,No
M,0.07200000000000001,Triangle/Plaza,No
Q,1.537,Neighborhood Park,No
Q,1.745,Neighborhood Park,No
B,0.11,Triangle/Plaza,No
Q,0.025,Triangle/Plaza,No
M,0.12300000000000001,Recreation Field/Courts,No
Q,1.226,Undeveloped,Yes
Q,1.265,Jointly Operated Playground,No
X,0.09,Triangle/Plaza,No
B,0.23,Garden,No
X,0.61,Playground,No
B,0.172,Garden,No
B,2.878,Lot,No
B,1.024,Playground,No
B,0.027000000000000003,Triangle/Plaza,No
B,0.12300000000000001,Garden,No
X,0.63,Playground,No
X,1.285,Recreation Field/Courts,No
B,0.433,Playground,No
B,5.739,Playground,No
Q,1.5,Triangle/Plaza,No
B,0.18899999999999997,Garden,No
B,0.649,Playground,No
M,1.4780000000000002,Jointly Operated Playground,No
Q,1.15,Playground,No
X,1.44,Jointly Operated Playground,No
B,0.57,Triangle/Plaza,No
B,0.626,Neighborhood Park,No
M,0.32899999999999996,Playground,No
Q,1.55,Neighborhood Park,No
Q,0.599,Garden,No
X,0.133,Cemetery,No
Q,2.095,Neighborhood Park,No
Q,0.011000000000000001,Strip,No
M,3.8,Triangle/Plaza,No
X,0.136,Garden,No
Q,1.28,Jointly Operated Playground,No
B,0.20600000000000002,Triangle/Plaza,No
B,0.917,Jointly Operated Playground,No
X,0.11599999999999999,Garden,No
Q,0.02,Strip,No
B,0.504,Playground,No
Q,0.9740000000000001,Jointly Operated Playground,No
Q,6.218999999999999,Community Park,No
B,0.009000000000000001,Strip,No
X,1.05,Jointly Operated Playground,No
B,0.703,Jointly Operated Playground,No
Q,0.45899999999999996,Cemetery,No
Q,0.1,Triangle/Plaza,No
M,1.8,Neighborhood Park,No
X,0.1,Triangle/Plaza,No
R,0.3,Cemetery,No
B,10.01,Community Park,Yes
R,16.944000000000003,Nature Area,Yes
B,0.141,Garden,No
X,0.17,Triangle/Plaza,No
B,0.055999999999999994,Garden,No
X,0.15,Triangle/Plaza,No
B,6.02,Recreation Field/Courts,No
M,1.735,Neighborhood Park,Yes
Q,0.069,Garden,No
B,0.043,Garden,No
B,0.73,Mall,No
M,0.44,Jointly Operated Playground,No
B,1.3769999999999998,Neighborhood Park,No
R,9.187000000000001,Nature Area,No
B,0.083,Garden,No
M,6.699,Neighborhood Park,No
Q,0.9009999999999999,Undeveloped,No
B,5.317,Neighborhood Park,No
Q,0.002,Strip,No
B,0.503,Playground,No
R,0.408,Neighborhood Park,No
B,0.47600000000000003,Neighborhood Park,No
B,0.172,Garden,No
M,0.545,Historic House Park,No
R,0.785,Nature Area,No
B,0.213,Playground,No
B,6.872999999999999,Neighborhood Park,No
Q,9.375,Undeveloped,Yes
X,0.436,Triangle/Plaza,No
B,0.039,Garden,No
B,0.29,Playground,No
M,0.23,Playground,No
M,0.943,Jointly Operated Playground,No
Q,0.494,Jointly Operated Playground,No
M,0.023,Garden,No
M,1.6980000000000002,Mall,No
Q,0.9179999999999999,Playground,No
X,3.3510000000000004,Recreation Field/Courts,No
M,1.0,Neighborhood Park,No
X,3.9,Playground,No
Q,0.055,Triangle/Plaza,No
Q,1.151,Neighborhood Park,No
M,0.588,Neighborhood Park,No
B,35.533,Recreation Field/Courts,Yes
M,0.07200000000000001,Garden,No
Q,1.145,Jointly Operated Playground,No
Q,1.749,Neighborhood Park,No
Q,326.895,Parkway,Yes
B,0.07400000000000001,Garden,No
Q,2.755,Neighborhood Park,No
X,0.11,Triangle/Plaza,No
B,0.9590000000000001,Playground,No
X,0.23,Garden,No
Q,26.83,Recreation Field/Courts,No
B,0.10800000000000001,Parkway,No
X,1.4380000000000002,Jointly Operated Playground,No
M,1.38,Parkway,No
B,0.005,Triangle/Plaza,No
M,0.573,Playground,No
B,0.13699999999999998,Playground,No
M,0.34,Triangle/Plaza,No
R,1.534,Playground,No
B,1.225,Playground,Yes
X,1.8,Neighborhood Park,No
B,0.9009999999999999,Playground,No
B,0.045,Garden,No
M,1.294,Playground,No
B,0.040999999999999995,Garden,No
M,8.8,Neighborhood Park,No
M,0.44799999999999995,Triangle/Plaza,No
Q,4.353,Community Park,No
R,3.333,Community Park,No
Q,27.531,Recreation Field/Courts,No
X,1.375,Jointly Operated Playground,No
B,0.188,Garden,No
X,0.988,Playground,No
B,0.9179999999999999,Jointly Operated Playground,No
M,0.146,Garden,No
Q,59.611999999999995,Parkway,No
X,0.287,Triangle/Plaza,No
Q,0.09,Triangle/Plaza,No
M,0.789,Jointly Operated Playground,No
R,23.01,Nature Area,No
Q,0.002,Triangle/Plaza,No
B,3.38,Neighborhood Park,No
M,0.075,Triangle/Plaza,No
Q,1.43,Jointly Operated Playground,No
Q,57.92100000000001,Nature Area,Yes
Q,4.966,Community Park,No
Q,0.925,Jointly Operated Playground,No
Q,0.07,Undeveloped,No
M,0.382,Triangle/Plaza,No
X,0.06,Triangle/Plaza,No
R,3.464,Nature Area,No
B,0.87,Jointly Operated Playground,No
B,0.133,Garden,No
Q,0.207,Triangle/Plaza,No
Q,11.5,Neighborhood Park,No
X,0.5,Triangle/Plaza,No
B,9.134,Neighborhood Park,No
M,0.061,Garden,No
X,108.91,Parkway,No
X,0.5,Parkway,No
B,0.248,Garden,No
X,0.172,Garden,No
R,0.20600000000000002,Triangle/Plaza,No
Q,0.01,Triangle/Plaza,No
X,1.3259999999999998,Buildings/Institutions,No
R,1.124,Jointly Operated Playground,No
M,15.383,Neighborhood Park,Yes
Q,4.635,Neighborhood Park,No
X,1.205,Jointly Operated Playground,No
Q,3.7569999999999997,Jointly Operated Playground,No
M,0.22899999999999998,Playground,No
M,10.502,Neighborhood Park,No
R,920.426,Undeveloped,Yes
X,17.064,Neighborhood Park,Yes
M,0.171,Garden,No
Q,1.526,Jointly Operated Playground,No
Q,0.39799999999999996,Playground,No
R,0.9179999999999999,Neighborhood Park,No
B,1.089,Jointly Operated Playground,No
X,2.37,Jointly Operated Playground,No
M,23.093000000000004,Community Park,Yes
M,0.066,Triangle/Plaza,No
R,8.107999999999999,Buildings/Institutions,No
X,35.311,Community Park,No
Q,0.22899999999999998,Playground,No
Q,60.394,Neighborhood Park,Yes
Q,0.01,Triangle/Plaza,No
B,0.322,Playground,No
B,1.82,Neighborhood Park,No
X,2.213,Playground,No
Q,1.466,Jointly Operated Playground,No
X,0.22,Triangle/Plaza,No
Q,20.34,Community Park,Yes
M,2.198,Mall,No
X,5.44,Neighborhood Park,No
M,5.829,Playground,No
Q,1.23,Triangle/Plaza,No
B,7.047000000000001,Neighborhood Park,No
B,0.586,Parkway,No
X,0.55,Parkway,No
Q,0.05,Triangle/Plaza,No
R,0.912,Jointly Operated Playground,No
M,0.046,Garden,No
B,0.299,Garden,No
M,8.595,Parkway,Yes
X,0.191,Triangle/Plaza,No
R,107.514,Nature Area,Yes
X,0.35,Triangle/Plaza,No
B,0.12300000000000001,Garden,No
X,2.6460000000000004,Jointly Operated Playground,No
X,0.213,Garden,No
M,4.712,Waterfront Facility,Yes
M,0.188,Strip,No
M,0.642,Jointly Operated Playground,No
B,0.121,Garden,No
X,80.936,Parkway,No
X,0.047,Garden,No
B,0.064,Managed Sites,No
Q,0.574,Recreation Field/Courts,No
X,0.18,Garden,No
R,2.2880000000000003,Neighborhood Park,No
M,0.478,Garden,No
M,0.6559999999999999,Jointly Operated Playground,No
B,3.1689999999999996,Waterfront Facility,Yes
X,0.255,Garden,No
B,0.79,Jointly Operated Playground,No
Q,0.02,Triangle/Plaza,No
M,0.603,Neighborhood Park,No
X,0.5529999999999999,Triangle/Plaza,No
R,0.231,Cemetery,No
B,0.5,Playground,No
B,1.7,Neighborhood Park,Yes
Q,2.412,Community Park,No
Q,0.009000000000000001,Strip,No
Q,0.03,Triangle/Plaza,No
B,0.52,Playground,No
B,2.2,Triangle/Plaza,No
B,1.795,Jointly Operated Playground,No
B,0.517,Playground,No
B,1.236,Jointly Operated Playground,No
R,9.763,Nature Area,No
M,0.055,Garden,No
M,0.039,Triangle/Plaza,No
B,0.345,Recreation Field/Courts,No
Q,255.4,Community Park,Yes
B,0.038,Garden,No
B,0.078,Triangle/Plaza,No
X,0.402,Garden,No
B,0.027999999999999997,Garden,No
Q,3.5039999999999996,Cemetery,No
Q,0.006,Strip,No
B,0.494,Garden,No
B,0.667,Triangle/Plaza,No
Q,0.821,Jointly Operated Playground,No
Q,0.732,Playground,No
R,1.521,Triangle/Plaza,No
B,0.064,Garden,No
M,0.584,Jointly Operated Playground,No
Q,5.4,Neighborhood Park,No
R,0.45,Triangle/Plaza,No
X,0.183,Neighborhood Park,No
R,13.469000000000001,Recreation Field/Courts,No
Q,1.13,Jointly Operated Playground,No
M,0.08,Garden,No
Q,1.03,Playground,No
X,0.040999999999999995,Triangle/Plaza,No
B,0.13699999999999998,Garden,No
Q,2.6,Playground,No
B,0.09,Triangle/Plaza,No
X,0.745,Triangle/Plaza,No
X,11.689,Community Park,No
X,15.049000000000001,Community Park,No
X,0.013000000000000001,Undeveloped,No
Q,0.002,Strip,No
R,138.1,Community Park,No
B,1.9869999999999999,Neighborhood Park,No
Q,0.057,Garden,No
B,0.736,Jointly Operated Playground,No
B,1.22,Waterfront Facility,Yes
Q,1.056,Jointly Operated Playground,No
Q,0.009000000000000001,Triangle/Plaza,No
X,1.79,Neighborhood Park,No
B,3.485,Neighborhood Park,No
X,1.3940000000000001,Playground,No
B,0.184,Garden,No
Q,358.0,Flagship Park,No
M,0.66,Playground,No
Q,0.25,Triangle/Plaza,No
Q,6.05,Undeveloped,No
X,0.43200000000000005,Playground,No
R,39.779,Nature Area,No
Q,4.863,Neighborhood Park,Yes
M,0.73,Garden,No
X,0.135,Triangle/Plaza,No
Q,1.5530000000000002,Jointly Operated Playground,No
X,0.012,Garden,No
Q,0.17300000000000001,Garden,No
X,0.732,Neighborhood Park,No
R,0.184,Undeveloped,No
M,0.076,Garden,No
X,0.046,Strip,No
B,2.964,Playground,No
B,1.0,Jointly Operated Playground,No
M,0.063,Garden,No
B,26.256999999999998,Community Park,Yes
X,0.258,Undeveloped,No
Q,3.25,Community Park,No
B,0.5539999999999999,Playground,No
M,0.1,Garden,No
B,0.563,Neighborhood Park,Yes
X,0.037000000000000005,Strip,No
Q,8.899,Community Park,No
B,0.154,Garden,No
B,0.185,Garden,No
M,0.828,Jointly Operated Playground,No
B,4.14,Triangle/Plaza,No
B,0.172,Garden,No
Q,0.01,Triangle/Plaza,No
Q,16.439,Nature Area,No
R,0.429,Garden,No
X,1.59,Playground,No
B,1.3980000000000001,Neighborhood Park,No
B,0.061,Triangle/Plaza,No
X,1.45,Recreation Field/Courts,No
B,3.017,Buildings/Institutions,No
R,161.24200000000002,Nature Area,No
M,0.17300000000000001,Garden,No
Q,0.059000000000000004,Triangle/Plaza,No
Q,2.9389999999999996,Jointly Operated Playground,No
B,0.9640000000000001,Jointly Operated Playground,No
M,8.639,Nature Area,Yes
M,1.875,Triangle/Plaza,No
M,0.47700000000000004,Neighborhood Park,No
Q,506.86,Flagship Park,No
Q,1.16,Triangle/Plaza,No
B,0.036000000000000004,Garden,No
Q,1.837,Neighborhood Park,No
X,0.037000000000000005,Undeveloped,No
Q,0.55,Mall,No
X,0.23199999999999998,Triangle/Plaza,No
Q,0.092,Garden,No
M,0.046,Garden,No
Q,2.552,Jointly Operated Playground,No
M,0.7659999999999999,Jointly Operated Playground,No
M,0.376,Mall,No
X,0.022000000000000002,Undeveloped,No
R,1.2930000000000001,Jointly Operated Playground,No
X,718.373,Flagship Park,Yes
R,2.65,Nature Area,No
Q,0.221,Triangle/Plaza,No
M,3.361,Neighborhood Park,No
M,0.034,Triangle/Plaza,No
M,7.85,Neighborhood Park,No
B,0.049,Garden,No
B,0.46,Playground,No
X,0.516,Playground,No
X,0.14,Triangle/Plaza,No
B,2.291,Recreation Field/Courts,No
Q,1.381,Neighborhood Park,No
R,0.9159999999999999,Triangle/Plaza,No
X,0.488,Neighborhood Park,No
R,7.395,Neighborhood Park,No
Q,0.001,Triangle/Plaza,No
Q,0.294,Garden,No
M,0.34700000000000003,Neighborhood Park,No
X,0.017,Strip,No
Q,0.03,Strip,No
B,0.927,Jointly Operated Playground,No
M,1.679,Mall,No
Q,0.157,Triangle/Plaza,No
X,2.6180000000000003,Neighborhood Park,No
B,9.322000000000001,Jointly Operated Playground,No
X,0.294,Strip,No
X,0.42,Triangle/Plaza,No
B,0.16,Garden,No
B,0.10400000000000001,Triangle/Plaza,No
M,1.0,Neighborhood Park,No
M,0.095,Garden,No
B,0.052000000000000005,Garden,No
X,0.33,Garden,No
B,0.012,Triangle/Plaza,No
M,3.5669999999999997,Nature Area,No
B,2.525,Community Park,No
M,21.88,Neighborhood Park,Yes
B,0.036000000000000004,Triangle/Plaza,No
B,1.416,Jointly Operated Playground,No
B,1.085,Neighborhood Park,No
B,1.004,Jointly Operated Playground,No
X,35.771,Nature Area,No
R,1.145,Neighborhood Park,No
B,1.97,Jointly Operated Playground,No
M,0.15,Triangle/Plaza,No
B,0.965,Managed Sites,No
X,0.06,Garden,No
X,3.533,Playground,No
M,0.24,Playground,No
Q,1.919,Playground,No
X,0.74,Triangle/Plaza,No
B,0.10300000000000001,Garden,No
X,1.3769999999999998,Jointly Operated Playground,No
B,0.069,Garden,Yes
B,1.974,Playground,No
Q,1.78,Neighborhood Park,No
Q,0.1,Triangle/Plaza,No
M,0.07400000000000001,Triangle/Plaza,No
X,0.897,Undeveloped,No
B,0.183,Garden,No
B,0.35700000000000004,Recreation Field/Courts,No
R,0.207,Triangle/Plaza,No
Q,2.093,Playground,No
B,0.092,Garden,No
X,0.27,Garden,No
M,0.11,Garden,No
Q,1.1440000000000001,Jointly Operated Playground,No
Q,0.14300000000000002,Undeveloped,No
Q,376.2,Waterfront Facility,Yes
Q,0.006,Triangle/Plaza,No
Q,0.158,Triangle/Plaza,No
B,0.21,Triangle/Plaza,No
M,0.037000000000000005,Garden,No
X,1.075,Neighborhood Park,No
B,0.344,Garden,No
B,0.28,Triangle/Plaza,No
B,0.9259999999999999,Jointly Operated Playground,No
M,0.69,Buildings/Institutions,No
Q,0.287,Playground,No
B,42.941,Community Park,Yes
B,0.9640000000000001,Jointly Operated Playground,No
M,0.774,Triangle/Plaza,No
X,0.027000000000000003,Strip,No
B,24.498,Community Park,No
Q,3.827,Jointly Operated Playground,No
R,0.071,Strip,No
M,0.06,Garden,No
X,3.21,Playground,No
B,0.138,Garden,No
B,0.20600000000000002,Garden,No
X,0.8059999999999999,Neighborhood Park,No
B,0.015,Triangle/Plaza,No
X,1.359,Playground,No
R,1.137,Playground,No
R,15.524000000000001,Historic House Park,Yes
M,0.10800000000000001,Triangle/Plaza,No
B,0.29,Playground,No
B,0.348,Garden,No
M,0.475,Playground,No
B,2.734,Undeveloped,Yes
B,0.035,Triangle/Plaza,No
X,0.244,Garden,No
B,0.711,Playground,No
R,0.39,Nature Area,No
B,0.275,Garden,No
X,0.36700000000000005,Garden,No
X,0.444,Undeveloped,No
Q,0.07400000000000001,Triangle/Plaza,No
M,0.7859999999999999,Jointly Operated Playground,No
X,0.098,Garden,No
M,0.043,Garden,No
B,0.066,Triangle/Plaza,No
Q,2.4,Jointly Operated Playground,No
M,253.168,Community Park,Yes
X,1.3219999999999998,Playground,No
Q,53.298,Nature Area,Yes
X,2771.7470000000003,Flagship Park,Yes
M,0.156,Triangle/Plaza,No
Q,1.889,Jointly Operated Playground,No
R,42.6,Nature Area,No
X,30.395,Nature Area,Yes
B,1.416,Jointly Operated Playground,No
B,3.253,Community Park,No
Q,10.761,Recreation Field/Courts,No
B,0.43700000000000006,Playground,No
X,4.73,Nature Area,No
Q,0.019,Triangle/Plaza,No
B,0.871,Playground,No
M,0.12,Garden,No
Q,10.79,Community Park,No
X,0.15,Playground,No
B,0.107,Garden,No
M,12.772,Neighborhood Park,No
R,0.054000000000000006,Triangle/Plaza,No
M,0.11199999999999999,Garden,No
B,0.066,Garden,No
R,4.647,Managed Sites,No
M,1.75,Community Park,No
B,1.485,Playground,No
B,0.213,Garden,No
Q,0.619,Jointly Operated Playground,No
R,44.733000000000004,Nature Area,Yes
M,0.342,Playground,No
Q,237.14700000000002,Community Park,No
Q,0.022000000000000002,Strip,No
Q,1.033,Jointly Operated Playground,No
Q,0.402,Mall,No
X,0.401,Garden,No
B,1.21,Jointly Operated Playground,No
M,0.436,Neighborhood Park,No
M,1.635,Neighborhood Park,No
B,2.27,Jointly Operated Playground,No
M,1.285,Jointly Operated Playground,No
Q,0.319,Historic House Park,No
B,1.4380000000000002,Jointly Operated Playground,No
B,1.351,Undeveloped,No
B,0.019,Triangle/Plaza,No
B,0.20600000000000002,Garden,No
M,0.223,Playground,No
Q,0.27399999999999997,Triangle/Plaza,No
X,0.977,Neighborhood Park,No
Q,6.336,Recreation Field/Courts,No
B,0.033,Garden,No
B,2.7439999999999998,Jointly Operated Playground,No
X,0.183,Garden,No
Q,0.027000000000000003,Triangle/Plaza,No
R,315.094,Nature Area,Yes
B,1.874,Neighborhood Park,No
Q,0.1,Triangle/Plaza,No
B,1.791,Jointly Operated Playground,No
B,0.18100000000000002,Buildings/Institutions,No
M,0.142,Triangle/Plaza,No
Q,0.06,Triangle/Plaza,No
B,0.08,Garden,No
Q,0.993,Playground,No
M,1.052,Neighborhood Park,No
M,0.11900000000000001,Garden,No
B,0.006,Strip,No
Q,3.867,Neighborhood Park,No
M,0.057,Garden,No
B,0.45899999999999996,Garden,No
X,0.13,Garden,No
X,0.174,Garden,No
X,0.172,Recreation Field/Courts,No
R,1.02,Neighborhood Park,No
X,1.0,Playground,No
M,0.38299999999999995,Garden,No
B,0.047,Parkway,No
M,2.0669999999999997,Neighborhood Park,No
Q,0.006999999999999999,Strip,No
B,1.3359999999999999,Jointly Operated Playground,No
R,136.56799999999998,Nature Area,No
X,0.716,Playground,No
X,0.275,Parkway,No
M,1.578,Triangle/Plaza,No
Q,89.946,Community Park,No
B,2.799,Jointly Operated Playground,No
B,2.741,Neighborhood Park,No
Q,1.6569999999999998,Undeveloped,Yes
Q,0.191,Triangle/Plaza,No
Q,1.607,Undeveloped,No
B,0.059000000000000004,Garden,No
M,6.422999999999999,Neighborhood Park,No
B,3.39,Neighborhood Park,No
M,1.556,Neighborhood Park,Yes
M,0.10099999999999999,Garden,No
B,0.006,Triangle/Plaza,No
X,0.28600000000000003,Garden,No
B,0.09,Garden,No
B,0.11599999999999999,Triangle/Plaza,No
R,0.424,Neighborhood Park,No
R,11.193,Nature Area,Yes
Q,0.07,Triangle/Plaza,No
B,0.55,Playground,No
B,0.09699999999999999,Garden,No
B,0.04,Parkway,No
Q,1.146,Jointly Operated Playground,No
M,1.945,Neighborhood Park,No
B,2.2030000000000003,Nature Area,Yes
B,1.158,Neighborhood Park,No
Q,11.422,Neighborhood Park,No
Q,1.473,Recreation Field/Courts,No
X,0.995,Undeveloped,Yes
X,0.016,Triangle/Plaza,No
B,2.282,Jointly Operated Playground,No
X,0.054000000000000006,Garden,No
B,4.947,Neighborhood Park,No
Q,0.574,Playground,No
M,0.55,Garden,No
M,0.11699999999999999,Garden,No
M,0.545,Neighborhood Park,No
Q,0.006,Strip,No
B,0.064,Garden,No
X,0.28,Playground,No
